ministry,file_name,section,sentence_num,eng_original,hindi_sarvam,eng_back
1_Ayush,AU2338_kTs52v,Question,1,"Will the Minister of AYUSH be pleased to state: (a) the details of ongoing research and development projects related to AYUSH drugs and therapies including the distribution of Research and Development (R&D) centers in the country, State/UT-wise; (b) the outcomes of these research projects, especially in terms of developing new treatments for chronic diseases or conditions in the country; and (c) the details of fund provided for AYUSH drug research along with the number of patents filed or products developed in the country.","आयुष मंत्री महोदय, क्या यह बात से प्रसन्न होंगे? (क) देश में अनुसंधान और विकास (आर एंड डी) केंद्रों के वितरण सहित आयुष दवाओं और उपचारों से संबंधित चल रही अनुसंधान और विकास परियोजनाओं का विवरण, राज्य/केंद्र शासित प्रदेश के अनुसार; (ख) इन अनुसंधान परियोजनाओं के परिणाम, विशेष रूप से देश में दीर्घकालिक बीमारियों या स्थितियों के लिए नए उपचार विकसित करने के संदर्भ में; और (ग) देश में आयुष दवाओं के अनुसंधान के लिए प्रदान किए गए धन के विवरण के साथ-साथ देश में दायर किए गए पेटेंट या विकसित उत्पादों की संख्या।","Would the Minister of AYUSH be free to talk? (a) Description of the ongoing research and development (R&D) projects related to AYUSH medicines and treatments, including the distribution of R&D centres in the country, (b) the results of these research projects, particularly in the context of developing new treatments for chronic diseases or conditions in the country, (c) the details of funds provided for the research of AYUSH medicines in the country, (d) the number of patents or developed products filed in the country."
1_Ayush,AU2338_kTs52v,Answer,1,"The Ministry of Ayush is implementing a Central Sector Scheme, namely, Ayurgyan since 2021-22 having three components viz.","आयुष मंत्रालय 2021-22 से एक केंद्रीय क्षेत्र योजना, अर्थात् आयुग्यन, लागू कर रहा है, जिसमें तीन घटक हैं।","The Ministry of AYUSH is implementing a centrally-sponsored scheme, AYUSHYA, for 2021-22 which has three components."
1_Ayush,AU2338_kTs52v,Answer,2,Capacity Building & Continuing Medical Education (CME) in Ayush (ii) Research & Innovation in AYUSH and (iii) Ayurveda Biology Integrated Health Research (ABIHR).,आयुष में क्षमता निर्माण और निरंतर चिकित्सा शिक्षा (सी.एम.ई.) (ii) आयुष में अनुसंधान और नवाचार (iii) आयुर्वेद जीव विज्ञान एकीकृत स्वास्थ्य अनुसंधान (ए.बी.आई.एच.आर.)।,Capacity building in AYUSH and Continuing Medical Education (CME) (ii) Research and innovation in AYUSH (iii) Integrated health research in Ayurveda Biology (ABIH).
1_Ayush,AU2338_kTs52v,Answer,3,ABIHR was added under the scheme from the year 2023-24 as a 3rd component.,ए.बी.आई.एच.आर. को वर्ष 2023-24 से योजना के तहत तीसरे घटक के रूप में जोड़ा गया था।,ABIHR was added as a third pillar of the scheme from 2023-24.
1_Ayush,AU2338_kTs52v,Answer,4,"Being a Central Sector Scheme, the scheme is not specific to any State/UT.","यह केंद्रीय क्षेत्र की योजना होने के कारण, यह योजना किसी भी राज्य/केंद्र शासित प्रदेश के लिए विशिष्ट नहीं है।","As it is a Central Sector Scheme, the scheme is not specific to any State/UT."
1_Ayush,AU2338_kTs52v,Answer,5,"Under the Research & Innovation in Ayush and ABIHR component of Ayurgyan Scheme, financial assistance is being provided to the eligible organisations for conducting the research and development activities as per provision contained in the scheme guidelines.","आयुर्गयन योजना के आयुष और ए.बी.आई.एच.आर. घटक में अनुसंधान एवं नवाचार के अंतर्गत, योजना के दिशानिर्देशों में निहित प्रावधानों के अनुसार अनुसंधान एवं विकास गतिविधियों के संचालन हेतु पात्र संगठनों को वित्तीय सहायता प्रदान की जा रही है।","Under the AYUSH and ABIHR components of the AYUGEN scheme, financial assistance is being provided to eligible organizations for conducting research and development activities as per the provisions contained in the guidelines of the scheme."
1_Ayush,AU2338_kTs52v,Answer,6,"Since inception, total 34 and 11 research projects were approved/supported under Research & Innovation in Ayush and ABIHR component of Ayurgyan Scheme respectively for conducting research activities.","आरंभ से ही, आयुष योजना के अनुसंधान और नवाचार घटक के तहत अनुसंधान गतिविधियों को संचालित करने के लिए कुल 34 और 11 अनुसंधान परियोजनाओं को क्रमशः अनुसंधान और नवाचार में अनुमोदित/समर्थित किया गया था।","Since its inception, a total of 34 and 11 research projects were approved/supported for undertaking research activities under the Research and Innovation component of AYUSH Mission."
1_Ayush,AU2338_kTs52v,Answer,7,"Out of 11 approved projects supported under ABIHR component,06 were related to development of safety and efficacy dossiers on 05 single Ayurveda botanicals.",ए.बी.आई.एच.आर. घटक के तहत समर्थित 11 अनुमोदित परियोजनाओं में से 06 परियोजनाएँ 05 एकल आयुर्वेद वनस्पति पर सुरक्षा और प्रभावकारिता डोजियर के विकास से संबंधित थीं।,"Out of 11 approved projects supported under the ABIHR component, 06 projects, 05 were related to development of safety and efficacy dossiers for a single Ayurvedic herbal product."
1_Ayush,AU2338_kTs52v,Answer,8,"In addition, Research Councils under Ministry of Ayush namely Central Council for Research in Ayurvedic Science (CCRAS), Central Council for Research in Homoeopathy (CCRH) and Central Council for Unani Medicine (CCRUM), Central Council for Research in Siddha (CCRS) and Central Council for Research in Yoga & Naturopathy (CCRYN) also undertake research activities such as Clinical Research, Drug Proving, Drug Verification, Drug validation, Drug Standardization, Public Health Research, Fundamental Research and Epidemic research in through their Research Institutes/Treatment Centre/Peripheral Units.","इसके अलावा, आयुष मंत्रालय के तहत अनुसंधान परिषदों जैसे केंद्रीय आयुर्वेद विज्ञान अनुसंधान परिषद (सी.सी.आर.ए.एस.), केंद्रीय होम्योपैथी अनुसंधान परिषद (सी.सी.आर.एच.), केंद्रीय यूनानी चिकित्सा अनुसंधान परिषद (सी.सी.आर.यू.एम.), केंद्रीय सिद्ध अनुसंधान परिषद (सी.सी.आर.एस.) और केंद्रीय योग और प्राकृतिक चिकित्सा अनुसंधान परिषद (सी.सी.आर.वाई.एन.) भी नैदानिक अनुसंधान, दवा सिद्धि, दवा सत्यापन, दवा प्रमाणीकरण, सार्वजनिक स्वास्थ्य अनुसंधान, आदि जैसी अनुसंधान गतिविधियों को संचालित करती हैं। उनके अनुसंधान संस्थानों/उपचार केंद्रों/परिधीय इकाइयों में मौलिक अनुसंधान और महामारी अनुसंधान।","Additionally, the Ministry of AYUSH, under its research councils such as the Central Council for Research in Ayurveda (CCRAS), Central Council for Research in Homeopathy (CCRH), Central Council for Research in Unani Medicine (CCRUM), Central Council for Research in Siddha (CCRS), and Central Council for Research in Yoga and Naturopathy (CCRYN), conduct research activities such as clinical research, drug discovery, drug verification, drug authentication, public health research, and more. Basic research and epidemiological research in their respective research institutions/treatment centers/central units."
1_Ayush,AU2338_kTs52v,Answer,9,State /UT wise no. of Institutes/Centres/Units of the Research Councils are attached at Annexure.,राज्य /केंद्र शासित प्रदेश के अनुसार संख्या। अनुसंधान परिषदों के संस्थानों/केंद्रों/इकाइयों के पाठ को अनुलग्नक में संलग्न किया गया है।,In numbers by State / Union Territory. The text of the institutions/centres/units of the Research Councils is appended.
1_Ayush,AU2338_kTs52v,Answer,10,"Further, a total 709 of research studies (i.e.","इसके अलावा, कुल 709 शोध अध्ययन (अर्थात","In addition, a total of 709 research studies (i.e"
1_Ayush,AU2338_kTs52v,Answer,11,"CCRAS-235, CCRH-230, CCRUM-120, CCRS-102, CCRYN-22) was undertaken by the above Research Councils.","उपरोक्त अनुसंधान परिषदों द्वारा सी.सी.आर.ए.एस.-235, सी.सी.आर.एच.-230, सी.सी.आर.यू.एम.-120, सी.सी.आर.एस.-102, सी.सी.आर.वाई.एन.-22) का संचालन किया गया था।","The aforementioned research councils conducted CCRAS-235, CCRH-230, CCRUM-120, CCRS-102, CCRYN-22."
1_Ayush,AU2338_kTs52v,Answer,12,"Under the Research & Innovation component, research projects are supported for a duration of three years and funds are released on instalment basis.","अनुसंधान एवं नवाचार घटक के अंतर्गत, अनुसंधान परियोजनाओं को तीन वर्षों की अवधि के लिए सहायता प्रदान की जाती है और धनराशि किस्तों में जारी की जाती है।","Under the Research and Innovation component, support is provided to research projects for a period of three years and the funds are released in installments."
1_Ayush,AU2338_kTs52v,Answer,13,"The outcomes of these research activities include publications, standard operating procedures (SOPs), patents, related deliverables.","इन शोध गतिविधियों के परिणामों में प्रकाशन, मानक संचालन प्रक्रियाएँ (एस.ओ.पी.), पेटेंट, संबंधित वितरण शामिल हैं।","The outputs of these research activities include publications, standard operating procedures (SOPs), patents, and related disclosures."
1_Ayush,AU2338_kTs52v,Answer,14,A total no. of 62 research outcomes has been published in peer-reviewed journals under R&I component (including Erstwhile EMR) from FY 2021-22 to 2025-26.,कुल शून्य 62 शोध परिणामों में से 2021-22 से 2025-26 तक आर एंड आई घटक (पूर्ववर्ती ईएमआर सहित) के तहत पीयर-रीव्यूड जर्नल्स में प्रकाशित किए गए हैं।,"Out of the total 62 research outputs, published between 2021-22 and 2025-26, under R&I component (previously EMR), majority of the publications were available in peer-reviewed journals."
1_Ayush,AU2338_kTs52v,Answer,15,The outcomes of Research Projects undertaken by the Research Councils under Ministry of Ayush are disseminated through publications in peer-reviewed journals.,आयुष मंत्रालय के तहत अनुसंधान परिषदों द्वारा किए गए अनुसंधान परियोजनाओं के परिणामों को सहकर्मी-समीक्षित पत्रिकाओं में प्रकाशन के माध्यम से प्रसारित किया जाता है।,The results of research projects carried out by research councils under the aegis of the Ministry of AYUSH are disseminated through publication in peer-reviewed journals.
1_Ayush,AU2338_kTs52v,Answer,16,"Under the Research & Innovation in Ayush component, fund of Rs.5.99 Crore and under ABIHR fund of Rs.47.07 crore was provided to conduct the research on Ayush drugs.",आयुष घटक में अनुसंधान और नवाचार के तहत आयुष दवाओं पर शोध करने के लिए 5.99 करोड़ रुपये का कोष और ए.बी.आई.एच.आर. के तहत 47.07 करोड़ रुपये का कोष प्रदान किया गया था।,A sum of ₹5.99 crore was allocated for research and innovation on AYUSH drugs under AYUSH component and another sum of ₹47.07 crore was allocated under ABIR.
1_Ayush,AU2338_kTs52v,Answer,17,Two (02) patents have been filed under research & Innovation in Ayush component.,आयुष घटक में अनुसंधान और नवाचार के तहत दो (02) पेटेंट दायर किए गए हैं।,Two (02) patents have been filed under research and innovation in the life component.
1_Ayush,AU2338_kTs52v,Answer,18,"Further, the details of patents filed, granted/products developed by the Research Councils are as under:- i) CCRAS - 03 patents filed and 24 patents granted ii) CCRUM - 05 patents filed and 02 granted iii) CCRH - 09 filed and 02 granted iv) CCRS - 11 patents filed and 01 patent granted","इसके अलावा, अनुसंधान परिषदों द्वारा दायर पेटेंटों के विवरण, अनुदानित/विकसित उत्पादों के विवरण इस प्रकार हैंः i) सी.सी.आर.ए.एस.- 03 पेटेंट दायर किए गए और 24 पेटेंट अनुदानित ii) सी.सी.आर.यू.एम.- 05 पेटेंट दायर किए गए और 02 अनुदानित iii) सी.सी.आर.एच.- 09 पेटेंट दायर किए गए और 01 पेटेंट अनुदानित iv) सी.सी.आर.एस.- 11 पेटेंट दायर किए गए और 01 पेटेंट अनुदानित","In addition, the details of patents filed by the Research Councils, details of products developed/patents filed, i)  CCRAS-03 Patents filed and 24 Patents Granted ii)CCRUM-05 Patents filed and 02 Patents Granted iii)CCRH-09 Patents filed and 01 Patents Granted iv)CCRS-11 Patents filed and 01 Patents Granted"
1_Ayush,AU2402_q4Clp3,Question,1,"Will the Minister of AYUSH be pleased to state: (a) the details of the total funds allocated to Haryana particularly to Hisar and Sonipat Parliamentary Constituencies for development of AYUSH infrastructure including AYUSH dispensaries, AYUSH Health and Wellness Centres, AYUSH hospitals and associate human resource under the National AYUSH Mission during the last three years; (b) the details of the funds sanctioned, released and actually utilised during the said period, yearwise and component-wise; (c) whether any proposal for setting up of new AYUSH dispensaries/hospitals/colleges or for upgradation of existing institutions in the said constituencies has been approved or is under consideration; (d) if so, the details thereof and if not, the reasons therefor; and (e) the details of the action plan proposed by the Government for the expansion of AYUSH services in the said constituencies in the coming years?","आयुष मंत्री महोदय, क्या यह बात आपको प्रसन्नताजनक लगेगी? (क) हरियाणा के लिए, विशेषकर हिसार और सोनीपत संसदीय निर्वाचन क्षेत्रों के लिए, आयुष सुविधाओं के विकास के लिए पिछले तीन वर्षों के दौरान राष्ट्रीय आयुष मिशन के अंतर्गत मंजूर, जारी और वास्तव में उपयोग किए गए धन का विवरण; (ख) उक्त अवधि के दौरान मंजूर, जारी और वास्तव में उपयोग किए गए धन का विवरण। वर्षवार और घटक-वार; (ग) क्या उक्त निर्वाचन क्षेत्रों में नए आयुष डिस्पेंसरी/अस्पताल/महाविद्यालयों की स्थापना के लिए या मौजूदा संस्थानों के उन्नयन के लिए कोई प्रस्ताव स्वीकृत किया गया है या विचाराधीन है; (घ) यदि हाँ, तो उनका विवरण और यदि नहीं, तो इसके कारण; और (ङ) उक्त निर्वाचन क्षेत्रों में आयुष सेवाओं के विस्तार के लिए सरकार द्वारा प्रस्तावित कार्य योजना का विवरण।","Does this look encouraging to you, Minister of AYUSH? (a) Details of funds sanctioned, released and utilized during the last three years for development of AYUSH infrastructure for Haryana, specifically for Hisar and Sonipat parliamentary constituencies under National AYUSH Mission for development of AYUSH facilities; (b) Details of funds sanctioned, released and utilized during the said period. Year-wise and component-wise; (g) whether any proposal has been approved or is under consideration for establishment of new AYUSH dispensaries/ hospitals/ medical colleges in the respective Constituent Countries or for upgradation of existing institutions; (h) details of action plan proposed by the Government for expansion of AYUSH services in the respective Constituent Countries; and (i) details of action plan proposed by the Government for expansion of AYUSH services in the respective Constituent Countries including the scheme proposed for the scheme under the scheme."
1_Ayush,AU2402_q4Clp3,Answer,1,"& (b) Under National Ayush Mission (NAM), as reported by the State Government of Haryana the details of funds sanctioned/allocated/released and utilised for parliamentary Constituencies of Hisar and Sonipat for development of Ayush infrastructure including Ayush dispensaries, Ayush Health and Wellness Centres now renamed as Ayushman Arogya Mandir (Ayush), Ayush hospitals and associate human resource under the NAM during the last three years is furnished at","(ख) राष्ट्रीय आयुष मिशन (एन.ए.एम.) के अंतर्गत हरियाणा राज्य सरकार द्वारा सूचित किया गया है कि पिछले तीन वर्षों के दौरान आयुष चिकित्सालयों, जिन्हें अब आयुष स्वास्थ्य और कल्याण केंद्र (आयुष्मान आरोग्य मंदिर) कहा जाता है, के साथ आयुष बुनियादी ढांचे के विकास के लिए, हिसार और सोनीपत के संसदीय निर्वाचन क्षेत्रों के लिए स्वीकृत/वितरित/मुक्त किए गए और उपयोग किए गए धन का विवरण, एन.ए.एम. के तहत सहयोगी मानव संसाधन का विवरण भी प्रदान किया गया है।","(b) Details of funds released / disbursed / utilised for the development of AYUSH infrastructure, AYUSH Hubs, AYUSH Arogya Kendras (now known as AYUSH Arogya Swasthya Arogya Kendras) in Hisar and Sonipat constituencies, supported under National AYUSH Mission (NAM), and the details of States AYUSH Aadhaar card of the AYUSH Manager and AYUSH Manager Aadhaar card of the AYUSH Manager who worked for three consecutive years in the AYUSH Arogya Kendras AYUSH Hubs AYUSH Arogya Swasthya Arogya Kendras) are enclosed."
