doc_id,ministry,question_id,question_hi,gold_answer_en,keywords_en
AU2338,ayush,Q1,AYURGYAN योजना के अंतर्गत कुल कितने Research & Innovation प्रोजेक्ट स्वीकृत किए गए?,,
AU2338,ayush,Q2,ABIHR घटक के अंतर्गत कितने प्रोजेक्ट अनुमोदित किए गए?,,
AU2338,ayush,Q3,AYUSH रिसर्च के लिए कुल कितनी राशि Research & Innovation और ABIHR के तहत दी गई?,,
AU2338,ayush,Q4,Research Councils द्वारा कुल कितने शोध अध्ययन किए गए?,,
AU2338,ayush,Q5,"CCRAS, CCRUM, CCRH और CCRS द्वारा कुल कितने पेटेंट दाखिल या स्वीकृत किए गए?",,
AU2402,ayush,Q1,हरियाणा में कुल कितने आयुष डॉक्टर पद स्वीकृत किए गए?,,
AU2402,ayush,Q2,पहले चरण में कितने आयुर्वेदिक मेडिकल अधिकारियों की नियुक्ति की गई?,,
AU2402,ayush,Q3,सोनीपत में कितने AMO नियुक्त किए गए?,,
AU2402,ayush,Q4,NAM के तहत राज्य सरकार को नई आयुष संस्थाएँ स्थापित करने के लिए क्या करना होता है?,,
AU2402,ayush,Q5,2023-24 में हिसार के लिए कितनी राशि आवंटित की गई थी?,,
AU3568,ayush,Q1,मुफ्त आयुष दवाओं की उपलब्धता सुनिश्चित करने की प्राथमिक जिम्मेदारी किसकी है?,,
AU3568,ayush,Q2,आयुष दवाओं की उपलब्धता को ट्रैक करने के लिए कौन सा डिजिटल प्लेटफॉर्म विकसित किया गया है?,,
AU3568,ayush,Q3,NAM के तहत कितने Ayushman Arogya Mandir (Ayush) संचालित किए गए हैं?,,
AU3568,ayush,Q4,स्वास्थ्यकर्मियों के प्रशिक्षण के लिए कौन-कौन से कार्यक्रम आयोजित किए गए?,,
AU3568,ayush,Q5,राज्य सरकारें प्रशिक्षण और क्षमता निर्माण के लिए वित्तीय सहायता कैसे प्राप्त कर सकती हैं?,,
AU4806,ayush,Q1,AOGUSY योजना के लिए कुल कितना बजट निर्धारित किया गया है?,,
AU4806,ayush,Q2,अब तक कितनी ASU&H pharmacies और Drug Testing Laboratories को वित्तीय सहायता दी गई है?,,
AU4806,ayush,Q3,2022-23 से 2024-25 के बीच NAM के तहत कुल कितनी केंद्रीय राशि जारी की गई?,,
AU4806,ayush,Q4,ASU&H दवाओं की गुणवत्ता सुनिश्चित करने के लिए कौन सा कानूनी ढांचा लागू है?,,
AU4806,ayush,Q5,"PHC, CHC और जिला अस्पतालों में AYUSH सेवाओं के एकीकरण के लिए सरकार ने कौन सी रणनीति अपनाई है?",,
AU5648,ayush,Q1,रिक्त पदों का आकलन करने की जिम्मेदारी किसकी है?,,
AU5648,ayush,Q2,NAM के तहत कितने बिस्तरों वाले एकीकृत आयुष अस्पताल स्थापित किए जा सकते हैं?,,
AU5648,ayush,Q3,Ayushman Arogya Mandir किसके अंतर्गत संचालित होता है?,,
AU5648,ayush,Q4,राज्य सरकारें NAM के तहत वित्तीय सहायता कैसे प्राप्त करती हैं?,,
AU5648,ayush,Q5,क्या भर्ती की जिम्मेदारी केंद्र सरकार की है?,,
AU414,education,Q1,केंद्रीय उच्च शिक्षण संस्थानों में एसोसिएट प्रोफेसर की भर्ती की शक्ति किसके पास होती है?,,
AU414,education,Q2,"शिक्षक कैडर में SC, ST, OBC और EWS के लिए आरक्षण कितने प्रतिशत है?",,
AU414,education,Q3,24.10.2025 तक मिशन मोड में कुल कितने पद भरे गए?,,
AU414,education,Q4,केंद्रीय विश्वविद्यालयों ने इनमें से कितने पद भरे?,,
AU414,education,Q5,क्या राज्य विश्वविद्यालयों के रिक्त पदों का डेटा केंद्र स्तर पर रखा जाता है?,,
AU2540,education,Q1,NEP 2020 के अनुसार कम से कम किस कक्षा तक मातृभाषा/स्थानीय भाषा को माध्यम बनाने की सिफारिश की गई है?,,
AU2540,education,Q2,तीन-भाषा सूत्र में R1 किसे कहा गया है?,,
AU2540,education,Q3,भारतीय भाषाओं में अकादमिक लेखन और अनुवाद को बढ़ावा देने के लिए UGC ने कौन-सा प्रोजेक्ट शुरू किया है?,,
AU2540,education,Q4,AICTE की भाषा नीति किस राष्ट्रीय शिक्षा दस्तावेज़ के अनुरूप है?,,
AU2540,education,Q5,क्या NEP 2020 के तहत किसी राज्य पर कोई भाषा थोपी जाएगी?,,
AU2749,education,Q1,PM-Vidyalaxmi के तहत कितने से अधिक शिक्षा ऋण स्वीकृत किए गए हैं?,,
AU2749,education,Q2,स्वीकृत कुल ऋण राशि कितनी है?,,
AU2749,education,Q3,कुल कितनी शिकायतें प्राप्त हुईं और उनमें से कितनी हल की गईं?,,
AU2749,education,Q4,कितने QHEIs को PM-Vidyalaxmi योजना के अंतर्गत शामिल किया गया है?,,
AU2749,education,Q5,क्या Tier-II और Tier-III शहरों के छात्र भी इस योजना के पात्र हैं?,,
AU3703,education,Q1,PM-USHA योजना का कुल वित्तीय प्रावधान कितना है?,,
AU3703,education,Q2,फतेहगढ़ साहिब लोकसभा क्षेत्र में कुल कितनी HEIs हैं?,,
AU3703,education,Q3,फतेहगढ़ साहिब जिले में कितने प्राथमिक विद्यालय हैं?,,
AU3703,education,Q4,फतेहगढ़ साहिब क्षेत्र में पंजाब के लिए कितने PM SHRI स्कूल बताए गए हैं?,,
AU3703,education,Q5,2025-26 में डिजिटल लर्निंग के लिए कितनी राशि जारी की गई?,,
AU3821,education,Q1,पिछले पाँच वर्षों और वर्तमान वित्तीय वर्ष में प्रमुख तकनीकी संस्थानों के लिए कुल कितनी राशि स्वीकृत की गई?,,
AU3821,education,Q2,AI के Centres of Excellence के लिए कुल कितना वित्तीय प्रावधान किया गया है?,,
AU3821,education,Q3,ANRF की कुल बजटीय राशि कितनी है?,,
AU3821,education,Q4,2014 से अब तक कितने नए AIIMS स्थापित किए गए हैं?,,
AU3821,education,Q5,HEFA के तहत अब तक कितनी राशि विभिन्न HEIs को स्वीकृत की गई है?,,
AU1387,labour,Q1,केंद्रीय क्षेत्र में कृषि क्षेत्र के अकुशल महिला श्रमिकों के लिए Area A में दैनिक न्यूनतम मजदूरी कितनी है?,,
AU1387,labour,Q2,निर्माण क्षेत्र के highly-skilled श्रमिकों के लिए Area C में मजदूरी कितनी निर्धारित है?,,
AU1387,labour,Q3,"क्या Code on Wages, 2019 के अनुसार पुरुष और महिलाओं के लिए मजदूरी समान है?",,
AU1387,labour,Q4,Stone crushing में 1.0 से 1.5 inch आकार के पत्थर के लिए प्रति ट्रक मजदूरी कितनी है?,,
AU1387,labour,Q5,Area C में कौन-कौन से क्षेत्र शामिल होते हैं?,,
AU2463,labour,Q1,चारों Labour Codes पूरे देश में किस तिथि से लागू हुए?,,
AU2463,labour,Q2,Industrial Relations Code के तहत layoffs/closures की सीमा 100 से बढ़ाकर कितनी की गई?,,
AU2463,labour,Q3,"Code on Wages, 2019 के लिए कितने राज्यों/केंद्रशासित प्रदेशों ने pre-published rules जारी किए हैं?",,
AU2463,labour,Q4,Fixed Term Employment के तहत gratuity कितने वर्ष बाद देय होती है?,,
AU2463,labour,Q5,gig और platform workers के लिए कौन-सा विशेष प्रावधान किया गया है?,,
AU2658,labour,Q1,14 वर्ष से कम आयु के बच्चों के लिए किस प्रकार के कार्य पर पूर्ण प्रतिबंध है?,,
AU2658,labour,Q2,14 से 18 वर्ष के किशोरों के लिए किस प्रकार के कार्य पर प्रतिबंध है?,,
AU2658,labour,Q3,family enterprise' में बच्चों को कब काम करने की अनुमति है?,,
AU2658,labour,Q4,बाल श्रम शिकायतों की निगरानी के लिए कौन-सा ऑनलाइन पोर्टल विकसित किया गया है?,,
AU2658,labour,Q5,जिला स्तर पर अधिनियम के प्रवर्तन के लिए किन संस्थागत व्यवस्थाओं का प्रावधान है?,,
AU3868,labour,Q1,2019-20 में ग्रामीण कृषि एवं संबद्ध क्षेत्र में कार्यरत श्रमिकों का प्रतिशत कितना था?,,
AU3868,labour,Q2,2024-25 में खाद्यान्न उत्पादन कितना बताया गया है?,,
AU3868,labour,Q3,सरकार कृषि श्रम की कमी दूर करने के लिए कौन-सी mechanization योजना चला रही है?,,
AU3868,labour,Q4,ICAR ने देशभर में कितने Krishi Vigyan Kendras स्थापित किए हैं?,,
AU3868,labour,Q5,KVKs किसानों के लिए कौन-सी दो प्रमुख गतिविधियाँ करते हैं?,,
AU5935,labour,Q1,महाराष्ट्र में 2023-24 में महिलाओं की Labour Force Participation Rate कितनी थी?,,
AU5935,labour,Q2,महिलाओं के लिए paid maternity leave कितने सप्ताह की है?,,
AU5935,labour,Q3,कार्यस्थल पर महिलाओं की सुरक्षा के लिए कौन-सा इलेक्ट्रॉनिक पोर्टल उपलब्ध है?,,
AU5935,labour,Q4,क्या महिलाएँ सुबह 6 बजे से पहले या शाम 7 बजे के बाद काम कर सकती हैं?,,
AU5935,labour,Q5,महिला कार्यबल भागीदारी बढ़ाने के लिए 2024-25 बजट में कौन-सी सुविधा घोषित की गई?,,
AU2208,women,Q1,देशभर में कुल कितने Anganwadi centres के माध्यम से Mission Poshan 2.0 लागू किया जा रहा है?,,
AU2208,women,Q2,1 अक्टूबर 2018 से AWWs का मासिक honorarium कितना बढ़ाया गया?,,
AU2208,women,Q3,उत्तर प्रदेश में in-position AWWs की संख्या कितनी है?,,
AU2208,women,Q4,PM POSHAN Scheme के तहत cook-cum-helpers को प्रति माह कितना honorarium दिया जाता है?,,
AU2208,women,Q5,Lakshadweep में cook-cum-helpers का मासिक honorarium कितना है?,,
AU2222,women,Q1,District Mental Health Programme कितने जिलों में लागू किया गया है?,,
AU2222,women,Q2,Tele-MANAS Cells कितने States/UTs में स्थापित किए गए हैं?,,
AU2222,women,Q3,One Stop Centres की कुल कितनी इकाइयाँ देशभर में संचालित हैं?,,
AU2222,women,Q4,SHe-Box portal का मुख्य उद्देश्य क्या है?,,
AU2222,women,Q5,"OSH Code, 2020 के अनुसार सामान्य कार्य घंटे प्रतिदिन कितने हैं?",,
AU2491,women,Q1,भागलपुर जिले में वर्तमान में कितने Anganwadi Centres कार्यरत हैं?,,
AU2491,women,Q2,Bhagalpur में POSHAN 2.0 के तहत गर्भवती महिलाओं की संख्या कितनी है?,,
AU2491,women,Q3,0-6 वर्ष के बच्चों में कितने लाभार्थी Mission Poshan 2.0 के अंतर्गत हैं?,,
AU2491,women,Q4,PMMVY के तहत Bhagalpur में कितने beneficiaries को भुगतान किया गया है?,,
AU2491,women,Q5,Mission Shakti के कौन-से दो verticals बताए गए हैं?,,
AU5696,women,Q1,Mission Shakti Portal कब लॉन्च किया गया था?,,
AU5696,women,Q2,SHe-Box Portal कब लॉन्च किया गया था?,,
AU5696,women,Q3,Karnataka में SHe-Box Portal पर कितनी शिकायतें दर्ज हुईं?,,
AU5696,women,Q4,Cyber Crime reporting के लिए कौन-सा national portal उपलब्ध है?,,
AU5696,women,Q5,महिलाओं की सुरक्षा के लिए कौन-सा dedicated fund स्थापित किया गया है?,,
AU5734,women,Q1,महिलाओं की safety और empowerment के लिए कौन-सी umbrella scheme लागू की जा रही है?,,
AU5734,women,Q2,Mission Shakti के दो verticals कौन-कौन से हैं?,,
AU5734,women,Q3,Women Helpline किस short code number पर उपलब्ध है?,,
AU5734,women,Q4,Mission Shakti Dashboard कब लॉन्च किया गया था?,,
AU5734,women,Q5,Nirbhaya Fund के तहत कौन-से दो प्रमुख projects का उल्लेख किया गया है?,,