doc_id,ministry,question_id,question_hi,gold_answer_en,context_type,qa_model,answer_hi
AU2338,ayush,Q1,AYURGYAN योजना के अंतर्गत कुल कितने Research & Innovation प्रोजेक्ट स्वीकृत किए गए?,,english,sarvam,AYURGYAN योजना के
AU2338,ayush,Q2,ABIHR घटक के अंतर्गत कितने प्रोजेक्ट अनुमोदित किए गए?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking how many projects have been approved under the ABIHR component. The document provided is in Hindi, so I need to read through it carefully.

First, I'll look for the section that mentions ABIHR. The document starts by talking about the Ayurgyan scheme with three components: Capacity Building, Research & Innovation, and ABIHR. It says ABIHR was added in 2023-24 as the third component. 

Then, under the Research & Innovation in Ayush and ABIHR component, financial assistance is given for R&D. The next sentence states that since inception, a total of 34 and 11 research projects were approved under Research & Innovation and ABIHR respectively. 

So, the key number here is 11 projects under ABIHR. The following sentences mention that out of these 11, 6 were related to safety and efficacy dossiers for Ayurvedic"
AU2338,ayush,Q3,AYUSH रिसर्च के लिए कुल कितनी राशि Research & Innovation और ABIHR के तहत दी गई?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking for the total amount of money allocated for AYUSH research under the Research & Innovation and ABIHR components. The document provided mentions the Ayurgyan scheme with three components: Capacity Building & CME, Research & Innovation in AYUSH, and ABIHR. The question specifically asks about the financial assistance given under Research & Innovation and ABIHR.

Looking through the document, part (a) states that financial assistance is provided to eligible organizations for R&D activities under these components. It also mentions the number of projects approved: 34 under Research & Innovation and 11 under ABIHR. However, the document doesn't provide the actual monetary figures for these grants. The numbers given are about the number of projects, not the total amount of money. 

The document also talks about the Research Councils under the Ministry of Ayush, like CCRAS, CCRH, etc., and the number of research studies they've undertaken"
AU2338,ayush,Q4,Research Councils द्वारा कुल कितने शोध अध्ययन किए गए?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking how many total research studies were conducted by the Research Councils. The document provided is in Hindi, so I need to parse through it carefully.

First, I'll look for the section that mentions the Research Councils. The document talks about the Ministry of Ayush and their schemes, then moves on to the Research Councils. In part (a), it mentions that the Research Councils like CCRAS, CCRH, CCRUM, CCRS, and CCRYN undertake research activities. Then, towards the end of the paragraph, there's a sentence: ""Further, a total 709 of research studies (i.e. CCRAS-235, CCRH-230, CCRUM-120, CCRS-102, CCRYN-22) was undertaken by the above Research Councils.""

Wait, the way it's written might be a bit confusing. The phrase"
AU2338,ayush,Q5,"CCRAS, CCRUM, CCRH और CCRS द्वारा कुल कितने पेटेंट दाखिल या स्वीकृत किए गए?",,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking how many patents have been filed or approved by CCRAS, CCRUM, CCRH, and CCRS. The document provided is from the Ministry of Ayush, discussing their research activities.

First, I need to go through the document carefully. The relevant section is part (a). It mentions that the Research Councils under the Ministry of Ayush, including CCRAS, CCRH, CCRUM, CCRS, and CCRYN, undertake various research activities like clinical research, drug proving, etc. It also states that a total of 709 research studies were undertaken by these councils: CCRAS-235, CCRH-230, CCRUM-120, CCRS-102, and CCRYN-22.

However, the question specifically asks about patents filed or approved. The document talks about research projects and studies but doesn't mention patents directly. The numbers given ("
AU2402,ayush,Q1,हरियाणा में कुल कितने आयुष डॉक्टर पद स्वीकृत किए गए?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking about the total number of Ayush doctor posts approved in Haryana. The document provided mentions the Ministry of AYUSH and the National Ayush Mission (NAM). It talks about funds sanctioned, allocated, released, and utilized for Hisar and Sonipat parliamentary constituencies over the last three years for developing Ayush infrastructure like dispensaries, health centers, hospitals, and human resources.

The key part here is ""associate human resource under the NAM."" The term ""associate human resource"" likely refers to the staff or personnel, including doctors. However, the document doesn't explicitly state the number of Ayush doctor posts approved. It only mentions that the details are furnished, but the actual numbers aren't provided in the given text. The user might need to refer to the full report or data from the State Government of Haryana under NAM for the exact figures. Since the answer isn't present in the"
AU2402,ayush,Q2,पहले चरण में कितने आयुर्वेदिक मेडिकल अधिकारियों की नियुक्ति की गई?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking about the number of Ayurvedic medical officers appointed in the first phase under the National Ayush Mission (NAM) in the Haryana state's Hisar and Sonipat parliamentary constituencies over the last three years.

First, I need to refer to the provided document. The document mentions that the details of funds and infrastructure development, including Ayush dispensaries, health centers, hospitals, and human resources, are reported by the Haryana government under NAM. However, the document doesn't explicitly state the number of Ayurvedic medical officers appointed in the first phase. 

The key points here are that the document talks about funds and infrastructure but doesn't provide specific numbers for human resources like medical officers. Since the answer isn't directly available in the given text, I should inform the user that the information isn't present in the provided document. It's important to be clear and not assume any numbers that"
AU2402,ayush,Q3,सोनीपत में कितने AMO नियुक्त किए गए?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking how many AMOs (Ayush Medical Officers) have been appointed in Sonipat under the National Ayush Mission (NAM) in the last three years. The document provided is a response from the Minister of State for AYUSH, Shri Prataprao Jadhav, regarding funds and infrastructure development in Haryana's Hisar and Sonipat parliamentary constituencies.

First, I need to parse the document carefully. The document mentions that the details of funds sanctioned, allocated, released, and utilized for Ayush infrastructure development, including Ayush dispensaries, Health and Wellness Centres (renamed as Ayushman Arogya Mandir), hospitals, and associated human resources under NAM for the last three years are provided. However, the actual data isn't listed in the provided text. The document only states that the information is furnished but doesn't include specific numbers.

The user's question specifically asks about"
AU2402,ayush,Q4,NAM के तहत राज्य सरकार को नई आयुष संस्थाएँ स्थापित करने के लिए क्या करना होता है?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking what the state government needs to do under the National Ayush Mission (NAM) to establish new Ayush institutions. The provided document mentions that the Ministry of AYUSH has allocated funds for Ayush infrastructure development in Haryana's Hisar and Sonipat parliamentary constituencies. The document lists Ayush dispensaries, Health and Wellness Centres (now called Ayushman Arogya Mandir), hospitals, and human resource development.

So, the answer should be based on the information given. The state government's role under NAM likely involves utilizing the sanctioned funds for setting up these institutions. The document mentions funds being allocated and utilized for infrastructure and human resources. Therefore, the state government probably needs to apply for or utilize the allocated funds under NAM to establish new Ayush institutions like dispensaries, health centers, hospitals, and train human resources. The answer should reflect that the state government uses the funds provided by"
AU2402,ayush,Q5,2023-24 में हिसार के लिए कितनी राशि आवंटित की गई थी?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking about the allocated amount for Hisar in 2023-24 under the National Ayush Mission (NAM) based on the provided document.

First, I need to read the document carefully. The document mentions that the details of funds sanctioned, allocated, released, and utilized for Hisar and Sonipat parliamentary constituencies under NAM for Ayush infrastructure development over the last three years are provided. However, the actual numbers aren't listed in the text given. The document only states that the information is furnished but doesn't include specific figures.

The user's question specifically asks for the allocated amount for Hisar in 2023-24. Since the document doesn't provide any numerical data, I can't extract the exact figure from the text. The answer should indicate that the information isn't available in the provided document. I need to make sure to respond in Hindi as per the user's instruction and"
AU3568,ayush,Q1,मुफ्त आयुष दवाओं की उपलब्धता सुनिश्चित करने की प्राथमिक जिम्मेदारी किसकी है?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking about who is primarily responsible for ensuring the availability of free Ayush medicines. The document provided is in Hindi, so I need to read through it carefully.

Looking at the first paragraph, it starts by saying that public health is a state subject. The primary responsibility for ensuring adequate availability of free Ayush medicines in health facilities and creating community awareness through digital platforms, SMS, etc., lies with the respective State/UT Governments. However, the Ministry of Ayush has developed systems like AHMIS to digitize inventories and track medicine availability. They also support states through NAM for BCC and IEC activities to raise awareness. But the key point here is that the main responsibility is on the states. The answer should be the State/UT Governments. I need to make sure there's no mention of the central government taking over this responsibility. The document clearly states that it's under the purview of the respective State/UT"
AU3568,ayush,Q2,आयुष दवाओं की उपलब्धता को ट्रैक करने के लिए कौन सा डिजिटल प्लेटफॉर्म विकसित किया गया है?,,english,sarvam,आयुष
AU3568,ayush,Q3,NAM के तहत कितने Ayushman Arogya Mandir (Ayush) संचालित किए गए हैं?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking how many Ayushman Arogya Mandir (Ayush) have been operationalized under the National Ayush Mission (NAM). 

First, I need to look through the provided document to find the relevant information. The document mentions several points under the Ministry of Ayush's initiatives. Let me scan through each section.

In part (d) of the document, it states: ""Under NAM, 12,500 Ayushman Arogya Mandir AAM (Ayush) [AAM (Ayush)] have been made operational across the Country."" 

So, the key number here is 12,500. The question specifically asks for the number of Ayushman Arogya Mandir (Ayush) under NAM, and the document clearly states that 12,500 have been operationalized. 

I should make sure there's no"
AU3568,ayush,Q4,स्वास्थ्यकर्मियों के प्रशिक्षण के लिए कौन-कौन से कार्यक्रम आयोजित किए गए?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking which programs have been organized for the training of health workers. The document provided is in Hindi, so I need to read through it carefully.

First, I'll look for sections that mention training programs. The document starts by talking about the responsibilities of state governments but then mentions the Ministry of Ayush's initiatives. 

In part (d), it says: ""Ministry of Ayush has organized Training of Trainers (ToT) programmes to train healthcare workers, including ASHA and ANM workers, about the benefits of Ayush for maintaining general wellness and preventing diseases."" 

So the key program mentioned here is the Training of Trainers (ToT) programs. The answer should be that the ToT programs are the ones organized for training health workers like ASHA and ANM. I need to make sure there's no other program mentioned. The rest of the document talks about awareness campaigns and infrastructure like AAM (Ay"
AU3568,ayush,Q5,राज्य सरकारें प्रशिक्षण और क्षमता निर्माण के लिए वित्तीय सहायता कैसे प्राप्त कर सकती हैं?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking how state governments can obtain financial assistance for training and capacity building. The document provided is from the Ministry of AYUSH, so I need to focus on that.

First, I'll read through the document again to find relevant parts. The key sections are (a) to (d). The question is about financial assistance, so I should look for mentions of funding or support from the Ministry to states.

In part (d), it mentions the National Ayush Mission (NAM) and the establishment of 12,500 Ayushman Arogya Mandir AAM. It also talks about Training of Trainers (ToT) programs for healthcare workers, including ASHA and ANM workers. The Ministry is organizing these programs, which implies they might be providing financial support through NAM.

Additionally, under part (c), the Ministry supports State/UT Governments for BCC and IEC activities under NAM."
AU4806,ayush,Q1,AOGUSY योजना के लिए कुल कितना बजट निर्धारित किया गया है?,,english,sarvam,"दस्तावेज़ में उल्लिखित ""आयुष स्वास्थ्य योजना"" (Ayurswasthya Yojana) के लिए कुल बजट राशि का कोई स्पष्ट उल्लेख नहीं किया गया है। दस्तावेज़ में केवल योजना के उद्द"
AU4806,ayush,Q2,अब तक कितनी ASU&H pharmacies और Drug Testing Laboratories को वित्तीय सहायता दी गई है?,,english,sarvam,दस्तावेज़ में उल्लिखित योजनाओं (जैसे आयुष और सार्वजनिक स्वास
AU4806,ayush,Q3,2022-23 से 2024-25 के बीच NAM के तहत कुल कितनी केंद्रीय राशि जारी की गई?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking about the total central funds released under NAM between 2022-23 and 2024-25. First, I need to check the provided document to see if there's any mention of NAM (which I assume stands for National Ayush Mission) and the financial details for those years.

Looking through the document, the schemes mentioned are the IEC Scheme and the Ayurswasthya Yojana. The Ayurswasthya Yojana is described as a Central Sector Scheme starting from FY 2021-22 with two components. However, there's no mention of NAM in the document. The schemes listed are under the Ministry of Ayush, but the names don't match NAM. The document talks about Ayurswasthya Yojana and IEC, but not NAM. Since the question specifically asks about NAM, and the document doesn't reference"
AU4806,ayush,Q4,ASU&H दवाओं की गुणवत्ता सुनिश्चित करने के लिए कौन सा कानूनी ढांचा लागू है?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking about the legal framework implemented to ensure the quality of ASU&H (Ayurveda, Siddha, Unani, and Homeopathy) medicines. The provided document from the Ministry of Ayush talks about various schemes and programs but doesn't explicitly mention any legal frameworks.

First, I need to recall if there's a specific act or regulation related to these medicines. I remember that in India, the AYUSH systems are regulated under different acts. For example, Ayurveda is covered under the Ayurvedic Drugs and Cosmetics Act, 1940. Similarly, Siddha has the Siddha Drugs and Cosmetics Act, 1940, Unani under the Unani Drugs and Cosmetics Act, 1940, and Homeopathy under the Drugs and Cosmetics Act, 1940. These acts set the standards for the quality and safety of their respective"
AU4806,ayush,Q5,"PHC, CHC और जिला अस्पतालों में AYUSH सेवाओं के एकीकरण के लिए सरकार ने कौन सी रणनीति अपनाई है?",,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking about the strategy the government has adopted to integrate AYUSH services into PHCs, CHCs, and district hospitals. The document provided mentions several schemes under the Ministry of Ayush.

First, I need to look through the document to find any mention of integrating AYUSH into primary health centers, community health centers, and district hospitals. The document talks about two main schemes: the IEC scheme and the Ayushaswasthya Yojana. 

The IEC scheme focuses on awareness through events and campaigns, but that's more about promoting AYUSH rather than integrating services into healthcare facilities. The Ayushaswasthya Yojana has two components: Ayush and Public Health, and Centre of Excellence. The Ayush and Public Health component's objectives include promoting AYUSH interventions in community health care and integrating them into public health to support SDGs 2 and 3. This seems relevant because integrating into"
AU5648,ayush,Q1,रिक्त पदों का आकलन करने की जिम्मेदारी किसकी है?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking who is responsible for assessing the vacant positions in Ayush facilities. The document provided is in English, so I need to read through it carefully.

The document mentions that Public Health is a State subject. The primary responsibility lies with the respective State or UT Government. They are responsible for assessing the number of vacant positions in Ayush facilities, including government hospitals and health centers. This includes analyzing the availability of trained manpower like Ayush doctors and pharmacists across the country and conducting timely recruitment under the National Ayush Mission (NAM).

The rest of the document talks about components under NAM for setting up hospitals and upgrading facilities, which include provisions for manpower deployment. But the key point here is the initial statement that the responsibility is with the State/UT Governments. The answer should be straightforward once I extract that part correctly. The user wants the answer in Hindi, so I need to translate the response accurately without losing the meaning."
AU5648,ayush,Q2,NAM के तहत कितने बिस्तरों वाले एकीकृत आयुष अस्पताल स्थापित किए जा सकते हैं?,,english,sarvam,उत्तर: राष्ट्रीय आयुष मिशन (NAM) के तहत **
AU5648,ayush,Q3,Ayushman Arogya Mandir किसके अंतर्गत संचालित होता है?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking under which program the Ayushman Arogya Mandir is operated. The document provided is in Hindi, so I need to read through it carefully.

First, I'll look for mentions of ""Ayushman Arogya Mandir"" in the text. The document talks about the National Ayush Mission (NAM) and its components. Specifically, it mentions that under NAM, there are components like setting up Integrated Ayush Hospitals, upgrading standalone Ayush Hospitals, operationalizing Ayushman Arogya Mandir, and Ayush Public Health Programmes. The key part here is ""operationalization of Ayushman Arogya Mandir (Ayush)"" which is listed under the components of NAM. 

The question is asking which program it's under, so the answer should be the National Ayush Mission. The document also mentions that states can avail financial assistance through their proposals under NAM"
AU5648,ayush,Q4,राज्य सरकारें NAM के तहत वित्तीय सहायता कैसे प्राप्त करती हैं?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking how state governments can obtain financial assistance under the National Ayush Mission (NAM). The document provided is in Hindi, so I need to parse that carefully.

First, I'll read through the document again to make sure I understand the key points. The document mentions that public health is a state subject, so the primary responsibility for assessing vacant positions in Ayush facilities, including government hospitals and health centers, lies with the respective state or UT governments. However, under NAM, there are components like setting up integrated Ayush hospitals, upgrading existing ones, operationalizing Ayushman Arogya Mandir, and public health programs. These components include provisions for manpower deployment.

The crucial part here is the last sentence: ""State/UT Governments may avail the financial assistance by submitting suitable proposals through State Annual Action Plans (SAAPs) as per the provisions of the NAM guideline."" So the answer should be that states submit"
AU5648,ayush,Q5,क्या भर्ती की जिम्मेदारी केंद्र सरकार की है?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking whether the responsibility for recruitment lies with the central government. The document provided is in English, so I need to read through it carefully.

The document mentions that Public Health is a State subject. The primary responsibility to assess vacant positions in Ayush facilities, including government hospitals and health centers, and to analyze the availability of trained manpower like Ayush doctors and pharmacists across the country, as well as conduct timely recruitment under the National Ayush Mission (NAM), lies with the respective State/UT Governments. However, under NAM, there are components for setting up hospitals and upgrading existing ones, which include provisions for deploying manpower. The states can avail financial assistance by submitting proposals through their State Annual Action Plans (SAAPs) as per NAM guidelines.

So, the key points here are that while the central government has the NAM which includes provisions for manpower deployment, the actual responsibility for assessing vacancies and conducting"
AU414,education,Q1,केंद्रीय उच्च शिक्षण संस्थानों में एसोसिएट प्रोफेसर की भर्ती की शक्ति किसके पास होती है?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking about who has the authority to recruit Associate Professors in Central Higher Education Institutions (CHEIs) under the Ministry of Education.

First, I need to refer to the provided document. The document mentions that CHEIs, including Central Universities, are autonomous organizations established under Central Acts of Parliament. It states that faculty recruitment, including Associate Professors, is done within the institutions themselves according to their Acts and Regulations. The key point here is that the recruitment powers are vested with the respective Board of Governors/Executive Committee/Board of Management. The Ministry doesn't have an active role in this process.

The document also talks about the Central Educational Institutions (Reservation in Teachers Cadre) Act, 2019, which deals with reservations but doesn't change the authority for recruitment. The special recruitment drives in 2021 were initiated by the Ministry, but the actual recruitment is still handled by the"
AU414,education,Q2,"शिक्षक कैडर में SC, ST, OBC और EWS के लिए आरक्षण कितने प्रतिशत है?",,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking about the percentage of reservation for SC, ST, OBC, and EWS in the teacher cadre under the Central Higher Education Institutions (CHEIs). 

First, I need to refer to the provided document. The relevant section mentions the Central Educational Institutions (Reservation in Teachers Cadre) Act, 2019. According to the document, the reservation percentages are specified as follows: 15% for SCs, 7.5% for STs, 27% for socially and educationally backward classes (which is OBC), and 10% for Economically Weaker Sections (EWS). The notification date is 12.7.2019.

I should make sure there's no other information in the document that might contradict or update these percentages. The rest of the text talks about the recruitment process and the special drive in 2021, but those"
AU414,education,Q3,24.10.2025 तक मिशन मोड में कुल कितने पद भरे गए?,,english,sarvam,"दस्तावेज़ में उल्लेखित जानकारी के अनुसार, अगस्त 2021 में केंद्रीय उच्च शिक्षा संस्थानों (CHEIs) को मिशन मोड में बैकलॉग रिक्तियों को भरने के लिए विशेष अभियान"
AU414,education,Q4,केंद्रीय विश्वविद्यालयों ने इनमें से कितने पद भरे?,,english,sarvam,"दस्तावेज़ में उल्लेखित जानकारी के अनुसार,"
AU414,education,Q5,क्या राज्य विश्वविद्यालयों के रिक्त पदों का डेटा केंद्र स्तर पर रखा जाता है?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking whether the data on vacant positions in state universities is maintained at the central level.

First, I need to refer back to the provided document. The document mentions that Central Higher Education Institutions (CHEIs) are under the Ministry of Education and their vacancies are handled by the institutions themselves. Then, there's a specific section about State Universities. It says, ""State Universities are established through respective State Acts and vacancies therein are filled by the concerned State Governments/Universities themselves. Vacancy details of State Universities are not maintained centrally.""

So, the key point here is that the document explicitly states that vacancy details for State Universities are not kept centrally. The answer should be a clear ""No"" based on that information. I need to make sure there's no mention of central maintenance of such data for state universities. The document only talks about CHEIs being autonomous and handling their own recruitment, but specifically for state universities, it"
AU2540,education,Q1,NEP 2020 के अनुसार कम से कम किस कक्षा तक मातृभाषा/स्थानीय भाषा को माध्यम बनाने की सिफारिश की गई है?,,english,sarvam,राष्ट्रीय शिक्षा नीति
AU2540,education,Q2,तीन-भाषा सूत्र में R1 किसे कहा गया है?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking about the three-language formula (तीन-भाषा सूत्र) mentioned in the NEP 2020 and specifically what R1 refers to.

First, I need to recall the document provided. The document states that the three-language formula will continue, with flexibility, and that the choice of languages will be determined by the states, regions, and students. The key part here is that the three languages learned by children are the choices of the states, regions, and students. 

The question is about R1. In the context of the three-language formula, typically, the first language (R1) is the mother tongue or regional language. The document mentions that until Grade 5, preferably up to Grade 8, the medium of instruction should be the home language/mother tongue/local language. After that, the home/local language continues to be taught as a subject. Then, the three-language formula comes into play"
AU2540,education,Q3,भारतीय भाषाओं में अकादमिक लेखन और अनुवाद को बढ़ावा देने के लिए UGC ने कौन-सा प्रोजेक्ट शुरू किया है?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking which project the UGC (University Grants Commission) has started to promote academic writing and translation in Indian languages. The provided document talks about NEP 2020 and NCF-SE 2023, focusing on mother tongue-based education and multilingualism.

First, I need to recall if the document mentions any specific UGC projects. The document discusses policies promoting Indian languages in schools, the three-language formula, and the importance of mother tongue education. However, it doesn't explicitly mention any UGC project by name. 

Wait, the user might be referring to a project that's part of the NEP 2020 implementation. The NEP 2020 does emphasize multilingual education and promoting Indian languages. The UGC often implements initiatives under the NEP. For example, the National Education Policy 2020 includes provisions for academic writing and translation in regional"
AU2540,education,Q4,AICTE की भाषा नीति किस राष्ट्रीय शिक्षा दस्तावेज़ के अनुरूप है?,,english,sarvam,"<think>
Okay, let's tackle this question. The user is asking which national education document's language policy aligns with AICTE's policy. The document provided is about NEP 2020 and NCF-SE 2023.

First, I need to recall what AICTE's language policy is. AICTE, the All India Council for Technical Education, is responsible for technical education in India. Their policies often align with the National Education Policy (NEP) 2020, which emphasizes multilingualism and mother tongue-based education.

Looking at the document, it mentions that NEP 2020 and NCF-SE 2023 promote all Indian languages in schools. The key points are mother tongue-based education until at least Grade 5, preferably up to Grade 8, and the three-language formula with flexibility. The document also states that these policies were developed after nationwide consultations, which suggests they are comprehensive and widely accepted"
