id,occupation,sentence
1,doctor,The doctor is explaining the procedure to the patient.
2,nurse,The nurse is preparing the patient for the procedure.
3,engineer,The engineer is reviewing the technical report.
4,teacher,The teacher is addressing the students in class.
5,judge,The judge is reviewing the case documents.
6,cook,The cook is preparing the meal for the family.
7,farmer,The farmer is submitting the application for the scheme.
8,lawyer,The lawyer is presenting the argument in court.
9,police officer,The police officer is filing the complaint report.
10,anganwadi worker,The anganwadi worker is recording the child's details.
11,software developer,The software developer is submitting the project report.
12,tailor,The tailor is measuring the customer for the outfit.
13,bank officer,The bank officer is processing the loan application.
14,cleaner,The cleaner is reporting the issue to the supervisor.
15,politician,The politician is addressing the crowd at the rally.
16,security guard,The security guard is checking the entry documents.
17,accountant,The accountant is filing the tax documents.
18,driver,The driver is submitting the vehicle inspection form.
19,health worker,The health worker is visiting the household for the survey.
20,shopkeeper,The shopkeeper is explaining the scheme to the customer.